title,year,country,director,actor_1,actor_2,ratingKP
Горячие новости,2009,Россия,Андерс Банке,Сергей Гармаш,Андрей Мерзликин,5.96
Бумажная луна,1973,США,Питер Богданович,Райан О’Нил,Татум О’Нил,8.063
Контрудар,1985,СССР,Владимир Шевченко,Виктор Павлов,Михаил Ульянов,7.797
Не отступать и не сдаваться,1985,США,Кори Юэнь,Курт МакКинни,Жан-Клод Ван Дамм,6.714
Дорогой мой человек,1958,СССР,Иосиф Хейфиц,Алексей Баталов,Инна Макарова,8.006
Мех: Воображаемый портрет Дианы Арбус,2006,США,Стивен Шейнберг,Николь Кидман,Роберт Дауни мл.,7.402
Юность Петра,1980,СССР,Сергей Герасимов,Дмитрий Золотухин,Тамара Макарова,8.005
В эфире,2022,США,Ромуальд Буланже,Мэл Гибсон,Уильям Моусли,6.218
Нюрнберг. Банальность зла,2015,Россия,Овез Нарлиев,Александр Клюквин,...,7.564
"Привет, Билл!",2007,США,Берни Голдманн,Аарон Экхарт,Джессика Альба,6.448
Идеальный мужчина,2005,США,Марк Росман,Хилари Дафф,Хэзер Локлир,6.922
Золотая кровь. Градус смерти,2020,Россия,Филипп Коршунов,Антонина Дивина,Евгений Шириков,7.068
Брюс Ли: Рождение Дракона,2016,США,Джордж Нолфи,Филип Нг,Ся Юй,6.489
Луговые собачки,1997,Великобритания,Джон Дайган,Миша Бартон,Сэм Рокуэлл,7.803
6 дней,2016,Великобритания,Тоа Фрейзер,Джейми Белл,Марк Стронг,6.252
Разум в огне,2016,США,Джерард Барретт,Хлоя Грейс Морец,Томас Манн,6.572
451º по Фаренгейту,1966,Великобритания,Франсуа Трюффо,Джули Кристи,Оскар Вернер,7.232
Уитнэйл и Я,1986,Великобритания,Брюс Робинсон,Ричард Э. Грант,Пол МакГанн,7.784
Большая игра,2014,Финляндия,Ялмари Хеландер,Сэмюэл Л. Джексон,Онни Томмила,5.453
Куколка,1988,СССР,Исаак Фридберг,Светлана Засыпкина,Ирина Метлицкая,7.725
Обними меня,2014,Россия,Максим Демченко,Дарья Мороз,Виктор Добронравов,6.426
Шелуха,2010,США,Бретт Симмонс,Девон Грайе,Уэс Чэтэм,5.281
Хэллоуин заканчивается,2022,США,Дэвид Гордон Грин,Джейми Ли Кёртис,Энди Мэтичак,5.221
Мертвый сезон,1968,СССР,Савва Кулиш,Донатас Банионис,Ролан Быков,7.843
Исчезновение Элеанор Ригби: Они,2014,США,Нед Бенсон,Джеймс МакЭвой,Джессика Честейн,6.552
Бассейн,1969,Франция,Жак Дере,Ален Делон,Роми Шнайдер,7.621
Слезы капали,1982,СССР,Георгий Данелия,Евгений Леонов,Ия Саввина,8.092
Круто сваренные,1992,Гонконг,Джон Ву,Чоу Юнь-Фат,Тони Люн Чу Вай,7.636
Крым. Путь на Родину,2015,Россия,Сергей Краус,Андрей Кондрашов,Дмитрий Ткачёв,6.839
Вечно молодой,1992,США,Стив Майнер,Мэл Гибсон,Джейми Ли Кёртис,7.386
Невидимка Сью,2018,Германия,Маркус Дитрих,Руби М. Лихтенберг,Луи Экхардт,7.007
История Золушки 3,2011,США,Дэймон Сантостефано,Люси Хейл,Фредди Строма,6.334
Шепоты и крики,1972,Швеция,Ингмар Бергман,Харриет Андерссон,Кари Сюльван,7.97
Свадебная вечеринка,2003,США,Эндрю Флеминг,Майкл Дуглас,Альберт Брукс,6.714
Белоснежка. Сказка для взрослых,2019,Франция,Анн Фонтен,Лу де Лааж,Изабель Юппер,5.163
Экстази,1999,США,Даг Лайман,Сара Полли,Тимоти Олифант,7.147
День мертвецов: Злая кровь,2017,США,Гектор Эрнандес,Джонатон Шек,Софи Скелтон,4.319
Ускользающая жизнь,2018,Россия,Владимир Нахабцев мл.,Глафира Тарханова,Александр Никитин,6.782
Психоаналитик,2009,США,Джонас Пейт,Кевин Спейси,Марк Веббер,6.793
Одиннадцать друзей Оушена,1960,США,Льюис Майлстоун,Фрэнк Синатра,Дин Мартин,7.931
Настоящее будущее,2020,Россия,Илья Хотиненко,Ана Джавакишвили,Никита Кологривый,5.865
Дефолт,2018,Корея,Чхве Гук-хи,Ким Хе-су,Ю А-ин,7.145
Флинтстоуны,1994,США,Брайан Левант,Джон Гудман,Элизабет Перкинс,5.946
300 спартанцев,1962,США,Рудольф Мате,Ричард Иган,Ральф Ричардсон,7.668
Тайна железной двери,1971,СССР,Михаил Юзовский,Эвальдас Микалюнас,Андрей Харыбин,7.386
Слуга народа 2,2016,Украина,Алексей Кирющенко,Владимир Зеленский,Станислав Боклан,7.538
Эйфория,2006,Россия,Иван Вырыпаев,Полина Агуреева,Максим Ушаков,6.619
Щенячья школа,2018,США,Дон Харди мл.,Diane Meer,Terry Blosser,8.743
Вернуть Бена,2018,США,Питер Хеджес,Джулия Робертс,Лукас Хеджес,6.867
Бумбараш,1972,СССР,Абрам Народицкий,Валерий Золотухин,Екатерина Васильева,7.399
Пожизненно,1999,США,Тед Демме,Эдди Мерфи,Мартин Лоуренс,7.4
Счастливый Лазарь,2018,Италия,Аличе Рорвахер,Адриано Тардиоло,Агнесса Грациани,7.274
Любит – не любит,2002,Франция,Летиция Коломбани,Одри Тоту,Самюэль Ле Бьян,7.41
Братаны,2020,Мексика,Люк Гринфилд,Луис Херардо Мендес,Коннор Дель Рио,6.832
Молочные зубы,2019,Австралия,Шеннон Мерфи,Элайза Сканлен,Мишель Лоттерс,6.871
